,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Michail Antonio,jm JAM,"FW,MF",West Ham,27,1990,15,3,34,15,44.1,2.26,1,0.09,0.2,21.9,0,0,0,2.4,2.4,0.07,0.6,0.6,296,494,59.9,5256,1567,151,210,71.9,90,147,61.2,42,91,46.2,1,1,0.9,0,14,20,15,11,29,15,9,7,6,2,4,14,28.6,10,14,0,14,13,28,16,0
Marko Arnautović,at AUT,"FW,MF",West Ham,28,1989,25.7,11,71,33,46.5,2.76,1.28,0.15,0.33,14.5,0,0,0,8.6,8.6,0.12,2.4,2.4,505,757,66.7,6653,1499,312,399,78.2,138,220,62.7,18,58,31,6,4.3,4.2,1.7,35,26,17,4,52,21,16,9,8,4,7,19,36.8,12,20,3,17,13,34,35,0
Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,25,1992,19.8,2,35,12,34.3,1.77,0.61,0.06,0.17,17.4,0,0,0,4,4,0.12,-2,-2,359,513,70,4775,1436,220,256,85.9,95,148,64.2,14,38,36.8,2,2.6,2,-0.6,25,21,16,3,47,17,16,10,7,0,7,20,35,13,35,5,30,13,30,27,1
Jordan Ayew,gh GHA,"FW,MF",Swansea City,25,1991,31.7,7,65,20,30.8,2.05,0.63,0.09,0.3,18.9,4,1,1,7.3,6.5,0.1,-0.3,-0.5,700,887,78.9,9413,1239,420,486,86.4,201,256,78.5,30,58,51.7,2,2,1.6,0,16,33,21,2,50,82,60,20,35,27,15,54,27.8,39,43,3,40,24,106,20,1
Sofiane Boufal,ma MAR,"FW,MF",Southampton,23,1993,13.5,2,30,6,20,2.21,0.44,0.07,0.33,18.3,0,0,0,1.7,1.7,0.06,0.3,0.3,431,580,74.3,6295,1617,250,302,82.8,123,164,75,32,60,53.3,2,1.8,1.8,0.2,21,37,24,3,76,37,24,12,14,11,12,35,34.3,23,20,1,19,6,43,6,0
Oliver Burke,sct SCO,"FW,MF",West Brom,20,1997,4.1,0,4,0,0,0.98,0,0,,15.2,0,0,0,0.5,0.5,0.12,-0.5,-0.5,114,151,75.5,1509,284,76,91,83.5,28,39,71.8,5,9,55.6,2,0.5,0.4,1.5,4,4,3,2,6,6,4,3,2,1,4,12,33.3,8,3,0,3,7,13,3,0
André Carrillo,pe PER,"FW,MF",Watford,26,1991,17.1,1,24,3,12.5,1.4,0.18,0.04,0.33,17.8,0,0,0,2.3,2.3,0.1,-1.3,-1.3,561,772,72.7,8091,2148,339,396,85.6,145,221,65.6,47,77,61,2,2.8,2.4,-0.8,20,40,24,8,72,31,24,16,12,3,8,33,24.2,25,7,0,7,15,46,16,0
Nacer Chadli,be BEL,"FW,MF",West Brom,27,1989,2.9,1,4,2,50,1.38,0.69,0.25,0.5,27.1,2,0,0,0.2,0.2,0.05,0.8,0.8,54,77,70.1,617,122,32,40,80,15,21,71.4,1,5,20,0,0.1,0.1,-0.1,2,3,2,0,7,1,0,1,0,0,1,4,25,3,0,0,0,0,1,4,0
Lee Chung-yong,kr KOR,"FW,MF",Crystal Palace,29,1988,1.5,0,1,0,0,0.67,0,0,,12,0,0,0,0,0,0.03,0,0,58,77,75.3,711,152,37,39,94.9,15,24,62.5,2,6,33.3,0,0.1,0.1,-0.1,2,1,1,0,2,2,0,0,1,1,0,0,,0,3,0,3,2,4,0,1
