,,,,,,,Standart,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s Played,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Avg Shot Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Steven Bergwijn,nl NED,"FW,MF",Tottenham,21,1997,7.8,3,9,4,44.4,1.15,0.51,0.33,0.75,15.1,0,0,0,1,1,0.12,2,2,216,256,84.4,2488,425,146,161,90.7,39,50,78,4,8,50,1,0.9,0.8,0.1,13,6,11,4,12,10,6,3,6,1,4,12,33.3,8,12,0,12,1,11,5,0
Jarrod Bowen,eng ENG,"FW,MF",West Ham,22,1996,10.2,1,24,7,29.2,2.36,0.69,0.04,0.14,18,0,0,0,2.3,2.3,0.09,-1.3,-1.3,179,273,65.6,3304,1080,79,96,82.3,70,94,74.5,26,57,45.6,4,2.7,2.7,1.3,15,15,9,6,19,19,15,7,9,3,4,17,23.5,13,6,0,6,16,35,8,0
Emi Buendía,ar ARG,"FW,MF",Norwich City,22,1996,27.4,1,40,11,27.5,1.46,0.4,0.03,0.09,22.8,10,0,0,2.2,2.2,0.06,-1.2,-1.2,1188,1604,74.1,18941,6656,662,772,85.8,307,401,76.6,154,284,54.2,7,6.8,6.2,0.2,83,155,56,4,194,82,39,57,21,4,38,118,32.2,80,58,5,53,23,105,32,2
Todd Cantwell,eng ENG,"FW,MF",Norwich City,21,1998,27.7,6,42,16,38.1,1.52,0.58,0.14,0.38,16.1,0,0,0,5.4,5.4,0.13,0.6,0.6,886,1110,79.8,11726,2625,560,627,89.3,206,263,78.3,45,84,53.6,2,1.9,1.1,0.1,35,76,21,0,99,51,31,19,27,5,26,73,35.6,47,38,2,36,18,69,35,1
Leon Clarke,eng ENG,"FW,MF",Sheffield Utd,34,1985,0.4,0,1,0,0,2.57,0,0,,9.6,0,0,0,0.5,0.5,0.46,-0.5,-0.5,4,6,66.7,51,7,3,5,60,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Phil Foden,eng ENG,"FW,MF",Manchester City,19,2000,10,5,34,14,41.2,3.4,1.4,0.15,0.36,16.8,0,0,0,3.3,3.3,0.1,1.7,1.7,446,528,84.5,6109,1111,273,298,91.6,108,133,81.2,27,40,67.5,2,1.2,1.5,0.8,18,24,11,2,49,14,10,4,6,4,6,19,31.6,13,5,0,5,6,20,2,0
Anwar El Ghazi,nl NED,"FW,MF",Aston Villa,24,1995,22.8,4,51,19,37.3,2.24,0.83,0.06,0.16,18.9,5,1,1,6.2,5.4,0.11,-2.2,-2.4,390,607,64.3,5945,1595,234,294,79.6,93,160,58.1,39,80,48.8,4,2.7,1.9,1.3,30,20,21,14,47,20,11,12,5,3,8,26,30.8,18,10,1,9,13,33,16,1
Jack Grealish,eng ENG,"FW,MF",Aston Villa,23,1995,35.9,8,72,23,31.9,2,0.64,0.11,0.35,18.5,1,0,1,6.8,6,0.08,1.2,2,1219,1546,78.8,20682,5789,589,662,89,449,530,84.7,134,229,58.5,6,7.4,6.5,-1.4,91,102,68,7,197,29,19,12,12,5,13,34,38.2,21,33,12,21,22,51,22,1
Onel Hernández,cu CUB,"FW,MF",Norwich City,26,1993,15.4,1,29,8,27.6,1.89,0.52,0.03,0.13,18.2,0,0,0,2.2,2.2,0.08,-1.2,-1.2,247,345,71.6,2999,553,158,188,84,69,94,73.4,1,14,7.1,2,0.9,1,1.1,19,6,10,1,22,27,19,13,11,3,9,31,29,22,12,1,11,19,46,10,0
