Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Total,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Short,Unnamed: 30,Unnamed: 31,Medium,Unnamed: 33,Unnamed: 34,Long,Unnamed: 36,Unnamed: 37,Expected,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Tackles,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Challanges,Unnamed: 53,Unnamed: 54,Unnamed: 55,Blocks,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Season,Standart,Expected.1
Player,Nation,Pos,Squad,Age,Born,90s Played,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Avg Shot Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,2018-2019,,
Marc Albrighton,eng ENG,"FW,MF",Leicester City,28,1989,18.1,2,19,7,36.8,1.05,0.39,0.11,0.29,21.4,0,0,0,1.2,1.2,0.06,0.8,0.8,448,776,57.7,7849,2947,236,301,78.4,129,217,59.4,61,160,38.1,2,2.9,2.3,-0.9,28,53,29,14,64,35,22,18,14,3,13,31,41.9,18,26,3,23,23,58,30,0,2018-2019,,
Floyd Ayité,tg TOG,"FW,MF",Fulham,29,1988,5.3,1,7,1,14.3,1.32,0.19,0.14,1,21.1,0,0,0,0.4,0.4,0.05,0.6,0.6,156,200,78,2301,669,96,109,88.1,46,62,74.2,10,15,66.7,0,0.5,0.4,-0.5,9,14,6,1,23,4,4,2,1,1,2,6,33.3,4,8,1,7,7,11,5,0,2018-2019,,
Ryan Babel,nl NED,"FW,MF",Fulham,31,1986,13.9,5,27,9,33.3,1.94,0.65,0.19,0.56,16,0,0,0,5.7,5.7,0.21,-0.7,-0.7,403,513,78.6,5974,1541,223,253,88.1,133,156,85.3,25,49,51,3,2.2,1.6,0.8,23,29,10,3,40,8,4,1,5,2,3,9,33.3,6,12,0,12,6,14,13,1,2018-2019,,
Bernard,br BRA,"FW,MF",Everton,25,1992,23.5,1,23,5,21.7,0.98,0.21,0.04,0.2,17,0,0,0,2.6,2.6,0.11,-1.6,-1.6,625,864,72.3,9062,2659,353,417,84.7,192,280,68.6,37,75,49.3,3,2.3,2.9,0.7,40,36,37,10,89,49,30,19,22,8,15,55,27.3,40,37,2,35,27,76,14,1,2018-2019,,
Ivan Cavaleiro,pt POR,"FW,MF",Wolves,24,1993,7.7,3,13,4,30.8,1.69,0.52,0.23,0.75,16.1,0,0,0,2.2,2.2,0.17,0.8,0.8,246,357,68.9,3400,811,142,173,82.1,53,89,59.6,22,40,55,1,1.5,1.4,-0.5,19,16,14,9,25,5,4,3,1,1,1,14,7.1,13,12,0,12,4,9,5,0,2018-2019,,
Hélder Costa,ao ANG,"FW,MF",Wolves,24,1994,14.9,1,25,7,28,1.68,0.47,0.04,0.14,18.9,0,0,0,2.4,2.4,0.1,-1.4,-1.4,364,493,73.8,4817,914,217,252,86.1,107,143,74.8,13,33,39.4,2,2.2,1.1,-0.2,17,16,16,1,37,18,14,7,7,4,7,23,30.4,16,15,0,15,9,27,6,0,2018-2019,,
Bobby De Cordova-Reid,jm JAM,"FW,MF",Cardiff City,25,1993,15.8,5,26,8,30.8,1.64,0.51,0.15,0.5,15.8,1,1,1,3.8,3,0.12,1.2,1,224,320,70,2888,662,137,167,82,54,78,69.2,10,24,41.7,2,1.2,1,0.8,16,15,7,0,23,16,9,6,7,3,3,8,37.5,5,13,0,13,3,19,12,0,2018-2019,,
Gerard Deulofeu,es ESP,"FW,MF",Watford,24,1994,23,10,60,22,36.7,2.61,0.96,0.17,0.45,16.9,6,0,0,8,8,0.13,2,2,568,793,71.6,7572,1800,347,419,82.8,160,220,72.7,18,48,37.5,5,4.1,4.3,0.9,30,39,37,3,67,11,6,5,3,3,4,26,15.4,22,16,0,16,14,25,3,0,2018-2019,,
Adama Diakhaby,fr FRA,"FW,MF",Huddersfield,22,1996,6.1,0,7,3,42.9,1.14,0.49,0,0,19.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,114,162,70.4,1546,227,72,93,77.4,36,46,78.3,2,8,25,0,0.5,0.4,-0.5,5,3,3,1,5,6,3,4,1,1,3,11,27.3,8,7,0,7,1,7,2,0,2018-2019,,
